Salinity,Generation,Chemical,Gene,ddCT
6,0,Cyfluthrin,17bHSD,-0.381333333
6,0,Cyfluthrin,arx,-0.043166667
6,0,Cyfluthrin,atp1,-0.750944444
6,0,Cyfluthrin,atp2,-0.364944444
6,0,Cyfluthrin,cyp1a1,-0.867388889
6,0,Cyfluthrin,dnmt3,1.585722222
6,0,Cyfluthrin,esr,-1.930611111
6,0,Cyfluthrin,igf2,-1.058388889
6,0,Cyfluthrin,rps6,-0.867722222
6,0,Cyfluthrin,17bHSD,-0.593333333
6,0,Cyfluthrin,arx,-0.966666667
6,0,Cyfluthrin,atp1,-0.950444444
6,0,Cyfluthrin,atp2,-0.830444444
6,0,Cyfluthrin,cyp1a1,-3.476888889
6,0,Cyfluthrin,dnmt3,2.258222222
6,0,Cyfluthrin,esr,2.937888889
6,0,Cyfluthrin,igf2,-1.033888889
6,0,Cyfluthrin,rps6,-0.625222222
6,0,Cyfluthrin,17bHSD,-0.268833333
6,0,Cyfluthrin,arx,-0.984166667
6,0,Cyfluthrin,atp1,-0.686944444
6,0,Cyfluthrin,atp2,-1.222944444
6,0,Cyfluthrin,cyp1a1,-3.694388889
6,0,Cyfluthrin,dnmt3,2.092722222
6,0,Cyfluthrin,esr,3.331388889
6,0,Cyfluthrin,igf2,-0.913388889
6,0,Cyfluthrin,rps6,-0.788722222
6,0,Cyfluthrin,17bHSD,-0.050333333
6,0,Cyfluthrin,arx,-0.551666667
6,0,Cyfluthrin,atp1,-0.606444444
6,0,Cyfluthrin,atp2,-0.779444444
6,0,Cyfluthrin,cyp1a1,-3.379888889
6,0,Cyfluthrin,dnmt3,2.577222222
6,0,Cyfluthrin,esr,3.753888889
6,0,Cyfluthrin,igf2,-0.293888889
6,0,Cyfluthrin,rps6,-0.637222222
6,0,Cyhalothrin,17bHSD,-0.904833333
6,0,Cyhalothrin,arx,0.460833333
6,0,Cyhalothrin,atp1,-0.463944444
6,0,Cyhalothrin,atp2,0.196055556
6,0,Cyhalothrin,cyp1a1,-1.258388889
6,0,Cyhalothrin,dnmt3,1.407722222
6,0,Cyhalothrin,esr,-2.510611111
6,0,Cyhalothrin,igf2,0.037611111
6,0,Cyhalothrin,rps6,-1.468722222
6,0,Cyhalothrin,17bHSD,-0.566333333
6,0,Cyhalothrin,arx,0.310333333
6,0,Cyhalothrin,atp1,-0.335444444
6,0,Cyhalothrin,atp2,-0.189444444
6,0,Cyhalothrin,cyp1a1,-1.426888889
6,0,Cyhalothrin,dnmt3,1.204222222
6,0,Cyhalothrin,esr,-2.202111111
6,0,Cyhalothrin,igf2,-0.036888889
6,0,Cyhalothrin,rps6,-1.361222222
6,0,Cyhalothrin,17bHSD,-0.831333333
6,0,Cyhalothrin,arx,0.665333333
6,0,Cyhalothrin,atp1,-0.587444444
6,0,Cyhalothrin,atp2,0.172555556
6,0,Cyhalothrin,cyp1a1,-1.422888889
6,0,Cyhalothrin,dnmt3,1.465222222
6,0,Cyhalothrin,esr,-2.005111111
6,0,Cyhalothrin,igf2,0.253111111
6,0,Cyhalothrin,rps6,-0.946222222
6,0,Cyhalothrin,17bHSD,-0.974833333
6,0,Cyhalothrin,arx,-0.191166667
6,0,Cyhalothrin,atp1,-0.862944444
6,0,Cyhalothrin,atp2,0.144055556
6,0,Cyhalothrin,cyp1a1,-0.422388889
6,0,Cyhalothrin,dnmt3,1.536722222
6,0,Cyhalothrin,esr,-2.218611111
6,0,Cyhalothrin,igf2,-0.881388889
6,0,Cyhalothrin,rps6,-0.936722222
6,0,Cyhalothrin,17bHSD,-0.994333333
6,0,Cyhalothrin,arx,-0.537666667
6,0,Cyhalothrin,atp1,-1.252444444
6,0,Cyhalothrin,atp2,-0.117444444
6,0,Cyhalothrin,cyp1a1,-0.356888889
6,0,Cyhalothrin,dnmt3,1.480222222
6,0,Cyhalothrin,esr,-2.323111111
6,0,Cyhalothrin,igf2,-1.632888889
6,0,Cyhalothrin,rps6,-1.112222222
6,0,Cyhalothrin,17bHSD,-0.782833333
6,0,Cyhalothrin,arx,-0.376166667
6,0,Cyhalothrin,atp1,-0.765944444
6,0,Cyhalothrin,atp2,0.035055556
6,0,Cyhalothrin,cyp1a1,-0.124388889
6,0,Cyhalothrin,dnmt3,1.222722222
6,0,Cyhalothrin,esr,-1.920611111
6,0,Cyhalothrin,igf2,-1.003388889
6,0,Cyhalothrin,rps6,-0.918722222
6,0,Cyhalothrin,17bHSD,-0.701833333
6,0,Cyhalothrin,arx,-0.489166667
6,0,Cyhalothrin,atp1,-1.117944444
6,0,Cyhalothrin,atp2,0.122055556
6,0,Cyhalothrin,cyp1a1,-3.462388889
6,0,Cyhalothrin,dnmt3,2.160722222
6,0,Cyhalothrin,esr,2.950388889
6,0,Cyhalothrin,igf2,-1.180388889
6,0,Cyhalothrin,rps6,-0.990722222
6,0,Cyhalothrin,17bHSD,-0.085833333
6,0,Cyhalothrin,arx,-1.000166667
6,0,Cyhalothrin,atp1,-0.852944444
6,0,Cyhalothrin,atp2,-0.458944444
6,0,Cyhalothrin,cyp1a1,-3.016388889
6,0,Cyhalothrin,dnmt3,2.168722222
6,0,Cyhalothrin,esr,3.014388889
6,0,Cyhalothrin,igf2,-0.543388889
6,0,Cyhalothrin,rps6,-0.608722222
6,0,Cyhalothrin,17bHSD,-0.093833333
6,0,Cyhalothrin,arx,-1.173166667
6,0,Cyhalothrin,atp1,-0.805944444
6,0,Cyhalothrin,atp2,
6,0,Cyhalothrin,cyp1a1,-3.032388889
6,0,Cyhalothrin,dnmt3,2.397722222
6,0,Cyhalothrin,esr,3.362388889
6,0,Cyhalothrin,igf2,-0.735388889
6,0,Cyhalothrin,rps6,-0.540722222
10,0,Control,17bHSD,-4.684277778
10,0,Control,arx,1.232722222
10,0,Control,atp1,2.170833333
10,0,Control,atp2,1.177722222
10,0,Control,cyp1a1,1.019277778
10,0,Control,dnmt3,1.684166667
10,0,Control,esr,0.538944444
10,0,Control,igf2,0.977166667
10,0,Control,rps6,1.034166667
10,0,Control,17bHSD,1.519222222
10,0,Control,arx,0.278222222
10,0,Control,atp1,1.179333333
10,0,Control,atp2,0.287222222
10,0,Control,cyp1a1,-0.084222222
10,0,Control,dnmt3,0.731666667
10,0,Control,esr,-1.582555556
10,0,Control,igf2,0.287666667
10,0,Control,rps6,0.235666667
10,0,Control,17bHSD,-0.941777778
10,0,Control,arx,0.701222222
10,0,Control,atp1,1.063333333
10,0,Control,atp2,0.297222222
10,0,Control,cyp1a1,0.481777778
10,0,Control,dnmt3,0.114666667
10,0,Control,esr,-1.648555556
10,0,Control,igf2,0.078666667
10,0,Control,rps6,0.440666667
10,0,Control,17bHSD,0.501722222
10,0,Control,arx,-0.157277778
10,0,Control,atp1,-1.268166667
10,0,Control,atp2,-0.494277778
10,0,Control,cyp1a1,0.576277778
10,0,Control,dnmt3,-1.120833333
10,0,Control,esr,-2.099055556
10,0,Control,igf2,-0.876833333
10,0,Control,rps6,-0.752833333
10,0,Control,17bHSD,1.201222222
10,0,Control,arx,-0.398777778
10,0,Control,atp1,-0.780666667
10,0,Control,atp2,-0.045777778
10,0,Control,cyp1a1,1.147777778
10,0,Control,dnmt3,-0.524333333
10,0,Control,esr,-1.767555556
10,0,Control,igf2,-0.145333333
10,0,Control,rps6,-0.299333333
10,0,Control,17bHSD,1.465222222
10,0,Control,arx,0.072222222
10,0,Control,atp1,-0.222666667
10,0,Control,atp2,0.137222222
10,0,Control,cyp1a1,1.411777778
