Chemical,Salinity,Replicate,Pseudoreplicate,Generation,Absorbance 650,Plate,Protein,Absorbance 412,Plate,Cysteine,Cysteine_extinction,nM/min/mg protein,,
Cyfluthrin,10 PSU,C,3,F0,0.468,2,0.146122536,0.229,2,0.108482329,1.61837E-05,0.110754618,,
Cyhalothrin,10 PSU,C,3,F0,0.574,2,0.168052354,0.243,2,0.109787526,1.71731E-05,0.102189255,,
Control,6 PSU,A,1,F1,0.648,1,0.18323583,0.235,1,0.108785121,1.66078E-05,0.090636061,,
Bifenthrin,6 PSU,A,1,F1,0.36,1,0.127887471,0.179,1,0.103801182,1.26502E-05,0.098916466,,
Cyfluthrin,6 PSU,A,1,F1,0.227,1,0.108318366,0.172,1,0.103194464,1.21555E-05,0.112219908,,
Cyhalothrin,6 PSU,A,1,F1,0.265,1,0.113581997,0.186,,0.104411468,1.31449E-05,0.11573028,,
Control,6 PSU,A,2,F1,0.642,1,0.181868129,0.217,1,0.107157581,1.53357E-05,0.084323125,,
Bifenthrin,6 PSU,A,2,F1,0.355,1,0.127091498,0.177,1,0.103627471,1.25088E-05,0.098423845,,
Cyfluthrin,6 PSU,A,2,F1,0.222,1,0.107644191,0.153,1,0.101565474,1.08127E-05,0.100448716,,
Cyhalothrin,6 PSU,A,2,F1,0.258,1,0.112593521,0.17,,0.103021768,1.20141E-05,0.106703602,,
Control,6 PSU,A,3,F1,0.648,1,0.18323583,0.272,1,0.112208666,1.92226E-05,0.104906419,,
Bifenthrin,6 PSU,A,3,F1,0.342,1,0.125045077,0.203,1,0.105908569,1.43463E-05,0.114728944,,
Cyfluthrin,6 PSU,A,3,F1,0.223,1,0.10777869,0.171,1,0.10310808,1.20848E-05,0.112126114,,
Cyhalothrin,6 PSU,A,3,F1,0.248,1,0.111196316,0.185,,0.104324065,1.30742E-05,0.117577681,,
Control,6 PSU,B,1,F1,0.561,2,0.165195001,0.28,1,0.112962943,1.9788E-05,0.119785622,,
Bifenthrin,6 PSU,B,1,F1,0.574,2,0.168052354,0.209,1,0.106442067,1.47703E-05,0.08789117,,
Cyfluthrin,6 PSU,B,1,F1,0.583,2,0.170059423,0.258,2,0.111203383,1.82332E-05,0.107216732,,
