generation,salinity,chemical,replicate,pseudo,length,width,index
0,10,CYH,B,2,370832,398.64,0.004299953
0,10,CYH,B,3,3653.65,212.64,0.23279734
0,10,CYH,B,3,3595.64,262.23,0.291719972
0,10,CYH,B,3,3500.76,300.95,0.343868189
0,10,CTL,C,1,3767.83,453.98,0.481953804
0,10,CTL,C,1,3597.83,468.01,0.520324751
0,10,CTL,C,1,3752.48,505.62,0.53897156
0,10,CTL,C,2,3771.38,493.79,0.523723412
0,10,CTL,C,2,3692,542.82,0.588104009
0,10,CTL,C,2,3721.52,571.77,0.614555343
0,10,CTL,C,3,3542.57,340.55,0.3845231
0,10,CTL,C,3,3353.09,323.05,0.385375877
0,10,CTL,C,3,3430.83,307.62,0.358653737
0,10,BIF,C,1,3520.67,430.71,0.489350038
0,10,BIF,C,1,3372.9,456.56,0.541445047
0,10,BIF,C,1,3584.31,451.82,0.50421978
0,10,BIF,C,2,3768.94,205.51,0.21810907
0,10,BIF,C,2,3759.61,281.11,0.299084214
0,10,BIF,C,2,3581.84,295.18,0.329640632
0,10,BIF,C,3,3616.42,403.08,0.445833172
0,10,BIF,C,3,3343.96,418.4,0.500484456
0,10,BIF,C,3,3687.01,470.81,0.510777025
0,10,CYF,C,1,3427.09,439.36,0.512808243
0,10,CYF,C,1,3296.16,421.86,0.511941168
0,10,CYF,C,1,3420.26,462.52,0.540917942
0,10,CYF,C,2,3507.03,439.86,0.501689464
0,10,CYF,C,2,3351.53,465.33,0.555364266
0,10,CYF,C,2,3537.14,465.33,0.52622175
0,10,CYF,C,3,3492.97,433.78,0.496746322
0,10,CYF,C,3,3354.69,450.03,0.536598017
0,10,CYF,C,3,3584.74,476.86,0.532099957
0,10,CYH,C,1,3757.23,469.49,0.499825669
0,10,CYH,C,1,3646.98,479.46,0.52587072
0,10,CYH,C,1,3734.11,502.25,0.538013074
0,10,CYH,C,2,3341.05,379.58,0.454443962
0,10,CYH,C,2,3128.82,394.88,0.504829297
0,10,CYH,C,2,3340.35,416.5,0.498750131
0,10,CYH,C,3,3629.37,418.78,0.461545668
0,10,CYH,C,3,3446.42,447.85,0.519785749
0,10,CYH,C,3,3621.39,444.29,0.490739744
1,6,CTL,A,1,3829.09,297.62,0.310904157
1,6,CTL,A,1,3664.22,295.9,0.323015539
1,6,CTL,A,1,3745.07,328.33,0.350679694
1,6,CTL,A,2,3285.94,413.49,0.503344553
1,6,CTL,A,2,3084.83,406.76,0.52743263
1,6,CTL,A,2,3385.08,394.3,0.46592695
1,6,CTL,A,3,3463.17,402.4,0.464776491
1,6,CTL,A,3,3284.55,406.33,0.494837953
1,6,CTL,A,3,3459.72,396.6,0.458534217
1,6,BIF,A,1,3431.95,281.66,0.328279841
1,6,BIF,A,1,3386.45,296.66,0.350408245
1,6,BIF,A,1,3377.9,296.66,0.351295183
1,6,BIF,A,2,3997.87,294.35,0.294506825
1,6,BIF,A,2,3563.84,334.97,0.375965251
1,6,BIF,A,2,3559.32,359.78,0.404324422
1,6,BIF,A,3,3657.14,402.11,0.439808156
1,6,BIF,A,3,3375.68,426.16,0.504976775
1,6,BIF,A,3,3817.06,429.23,0.44980168
1,6,CYF,A,1,3443.23,376.11,0.436926955
1,6,CYF,A,1,3330.46,375.47,0.450952721
1,6,CYF,A,1,3502.28,407.7,0.465639526
1,6,CYF,A,2,3667.29,450.03,0.490858372
1,6,CYF,A,2,3533.47,433.5,0.490735736
1,6,CYF,A,2,3711.46,450.03,0.485016678
1,6,CYF,A,3,3670.42,424.97,0.46312956
1,6,CYF,A,3,3439.83,456.76,0.531142527
1,6,CYF,A,3,3714.08,504.68,0.543531642
1,6,CYH,A,1,4119.55,222.34,0.215887658
1,6,CYH,A,1,4026.89,284.57,0.282669753
1,6,CYH,A,1,3993.33,312.16,0.312681396
1,6,CYH,A,2,3167.89,409.86,0.517517969
1,6,CYH,A,2,3080.73,443.27,0.575538914
1,6,CYH,A,2,3205.13,462.21,0.576837757
1,6,CYH,A,3,3683.13,386.07,0.419284684
1,6,CYH,A,3,3487.1,421.6,0.483611023
1,6,CYH,A,3,3764.83,469.34,0.49865731
1,6,CTL,B,1,3695.92,448.76,0.485681508
1,6,CTL,B,1,3582.61,447.54,0.499680401
1,6,CTL,B,1,3750.66,496.8,0.52982675
1,6,CTL,B,2,3518.88,492.78,0.560155504
1,6,CTL,B,2,3447.56,487.82,0.565988699
1,6,CTL,B,2,3603.7,501.17,0.556283819
1,6,CTL,B,3,3850.77,378.52,0.393188895
1,6,CTL,B,3,3696.27,382.91,0.414374491
1,6,CTL,B,3,3869.45,401.05,0.414580884
1,6,BIF,B,1,3766.43,206.21,0.218997831
1,6,BIF,B,1,3706.6,256.3,0.276587708
1,6,BIF,B,1,3550.69,270.81,0.305078731
1,6,BIF,B,2,3607.74,268.55,0.297748729
1,6,BIF,B,2,3538.55,244.31,0.276169617
1,6,BIF,B,2,3499.63,276.62,0.316170567
1,6,BIF,B,3,3396.09,397.55,0.468244363
1,6,BIF,B,3,3085.95,426.91,0.553359581
1,6,BIF,B,3,3582.65,451.21,0.503772347
1,6,CYF,B,1,3461.88,466.67,0.539209909
1,6,CYF,B,1,3311.54,483.76,0.584332365
1,6,CYF,B,1,3513.89,495.9,0.564502588
1,6,CYF,B,2,3369.87,482.63,0.572876699
1,6,CYF,B,2,3212.62,526.32,0.655315599
1,6,CYF,B,2,3336.51,545.99,0.6545642
1,6,CYF,B,3,3368.2,384.8,0.456979989
1,6,CYF,B,3,3215.12,387.13,0.481636766
1,6,CYF,B,3,3431.37,418.89,0.48830642
1,6,CYH,B,1,3160.65,315.02,0.398677487
1,6,CYH,B,1,3022.72,345.64,0.457389371
1,6,CYH,B,1,3153.25,361.98,0.459183382
1,6,CYH,B,2,3508.9,390.48,0.445130953
1,6,CYH,B,2,3219.34,403.68,0.501568645
1,6,CYH,B,2,3611.86,406.43,0.45010604
1,6,CTL,C,1,3841.12,455.37,0.47420544
1,6,CTL,C,1,3717.25,495.38,0.53306073
1,6,CTL,C,1,3875.68,521.93,0.538671923
1,6,CTL,C,2,3940.26,291.5,0.295919559
1,6,CTL,C,2,3767.43,323.69,0.343671946
1,6,CTL,C,2,3890.44,368.27,0.378640976
1,6,CTL,C,3,3531.98,213.09,0.241326395
1,6,CTL,C,3,3434.45,248.92,0.289909593
1,6,CTL,C,3,3403.49,296.25,0.348172023
1,6,BIF,C,1,4152.71,573.95,0.552843806
1,6,BIF,C,1,4004.53,596.31,0.595635443
1,6,BIF,C,1,4154.41,585.08,0.563333903
1,6,BIF,C,2,3321.65,442.02,0.532289675
1,6,BIF,C,2,3211.7,450.56,0.561148302
1,6,BIF,C,2,3334.25,504.9,0.605713429
1,6,BIF,C,3,3664.73,288.28,0.314653467
1,6,BIF,C,3,3558.01,303.01,0.340651094
1,6,BIF,C,3,3533.26,315.24,0.356882879
1,6,CYF,C,1,3920.18,392.34,0.400328556
1,6,CYF,C,1,3736.11,385.05,0.412246963
1,6,CYF,C,1,3824.17,435.94,0.455983913
1,6,CYF,C,2,3565.8,363.31,0.407549498
1,6,CYF,C,2,3414.46,400.29,0.468935059
1,6,CYF,C,2,3541.66,389.25,0.439624357
1,6,CYF,C,3,3472.99,434.1,0.499972646
1,6,CYF,C,3,3259.86,458.54,0.56264993
1,6,CYF,C,3,3489.12,457.65,0.524659513
1,6,CYH,C,1,2920.33,376.8,0.516106057
1,6,CYH,C,1,2711.06,417.1,0.615405045
1,6,CYH,C,1,2955.43,405.1,0.548278931
1,6,CYH,C,2,3588.6,380.73,0.424377194
1,6,CYH,C,2,3471.56,411.63,0.474288216
1,6,CYH,C,2,3598.49,399.73,0.444330817
1,10,CTL,A,1,3753.58,415.47,0.442745326
1,10,CTL,A,1,3683.06,514.43,0.558698474
1,10,CTL,A,1,3734.79,469.65,0.503000169
1,10,CTL,A,2,3808.86,474.67,0.498490362
1,10,CTL,A,2,3749.5,426.91,0.455431391
1,10,CTL,A,2,3875.43,383.87,0.396208937
1,10,CTL,A,3,4098.4,444.29,0.433622877
1,10,CTL,A,3,4116.82,461.1,0.448015701
1,10,CTL,A,3,4107.15,465.43,0.453287559
1,10,BIF,A,1,4154.28,394.27,0.379627757
1,10,BIF,A,1,4099.26,356.32,0.347692022
1,10,BIF,A,1,4038.22,457.27,0.452942138
1,10,BIF,A,2,3760.54,457.2,0.486313136
1,10,BIF,A,2,3821.86,496.06,0.51918176
1,10,BIF,A,2,3798.19,502.74,0.529452186
1,10,BIF,A,3,4113.34,441.74,0.429568185
1,10,BIF,A,3,4125.04,454.57,0.440790877
1,10,BIF,A,3,4133.35,473.23,0.45796267
1,10,CYF,A,1,3662.96,488.03,0.532935113
1,10,CYF,A,1,3667.18,451.33,0.492291079
1,10,CYF,A,1,3682.42,528.66,0.574252801
1,10,CYF,A,2,4382.4,446.15,0.407219788
1,10,CYF,A,2,4454.86,473.33,0.42500101
1,10,CYF,A,2,4354.78,483.26,0.443889244
1,10,CYF,A,3,4124.1,441.15,0.427875173
1,10,CYF,A,3,4103.43,437.06,0.426043578
1,10,CYF,A,3,4090.55,428.31,0.418828764
1,10,CYH,A,1,3765.09,386.07,0.410157526
1,10,CYH,A,1,3754.78,459.58,0.489594597
1,10,CYH,A,1,3701.19,434.12,0.469168024
1,10,CYH,A,2,1894.99,203.42,0.429384852
1,10,CYH,A,2,1857.94,208.61,0.44912107
1,10,CYH,A,2,1898.56,196.09,0.413134165
1,10,CYH,A,3,3719.75,328.61,0.353367834
1,10,CYH,A,3,3656.33,350.03,0.382930425
1,10,CYH,A,3,3723.78,305.69,0.328365263
1,10,CTL,B,1,3818.86,447.44,0.468663423
